기간	지역	총인구	9세-24세	9세-24세	0세-18세	0세-18세	학령인구	학령인구
기간	지역	총인구	계	구성비	계	구성비	계	구성비
2019	합계	9,729,107	1,535,840	15.8	1,370,602	14.1	1,340,213	13.8
2019	종로구	151,290	23,687	15.7	18,167	12	19,371	12.8
2019	중구	126,171	15,670	12.4	13,494	10.7	12,831	10.2
2019	용산구	228,670	31,549	13.8	28,214	12.3	27,146	11.9
2019	성동구	300,889	43,769	14.5	40,214	13.4	36,972	12.3
2019	광진구	351,350	56,202	16	45,248	12.9	45,871	13.1
2019	동대문구	346,194	53,022	15.3	43,391	12.5	43,335	12.5
2019	중랑구	397,015	55,677	14	49,127	12.4	47,568	12
2019	성북구	442,650	74,775	16.9	64,592	14.6	64,894	14.7
2019	강북구	313,954	46,058	14.7	37,670	12	38,952	12.4
2019	도봉구	333,362	51,616	15.5	44,458	13.3	44,826	13.4
2019	노원구	532,905	100,444	18.8	84,769	15.9	88,708	16.6
2019	은평구	480,032	74,183	15.5	66,910	13.9	65,623	13.7
2019	서대문구	309,397	49,248	15.9	41,516	13.4	41,049	13.3
2019	마포구	374,035	58,020	15.5	52,329	14	49,257	13.2
2019	양천구	458,165	87,373	19.1	79,612	17.4	80,988	17.7
2019	강서구	591,796	87,346	14.8	85,128	14.4	78,468	13.3
2019	구로구	406,664	58,936	14.5	57,914	14.2	53,007	13
2019	금천구	232,810	32,018	13.8	27,278	11.7	26,592	11.4
2019	영등포구	367,678	48,998	13.3	46,796	12.7	42,181	11.5
2019	동작구	395,963	60,487	15.3	51,741	13.1	50,224	12.7
2019	관악구	500,094	73,127	14.6	50,933	10.2	53,111	10.6
2019	서초구	430,826	76,156	17.7	76,676	17.8	73,427	17
2019	강남구	545,169	99,708	18.3	91,541	16.8	93,164	17.1
2019	송파구	675,961	109,333	16.2	107,298	15.9	100,433	14.9
2019	강동구	436,067	68,438	15.7	65,586	15	62,215	14.3
