id,output,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30
100601,1,34.515,-8.86,0.602,3.098,24.788,0.914,7.312,22.68,50.52,12.976,39.606,451.666,17.083,17.582,34.734,6.522,6.439,45.811,0.659,3.39,30.284,-3.096,-2.923,-2.354,-3.572,1216039167,9.62,9.2,9.151,8.751
100602,1,44.709,67.191,2.131,7.058,17.081,1.334,3.229,7.71,50.544,57.217,120.093,239.774,65.254,24.689,157.504,1.368,1.311,26.307,1.597,5.289,27.924,-1.073,-0.872,-0.608,-0.381,4507586941,2.367,2.133,2.424,2.185
100603,1,0.519,121.395,0.859,2.111,9.855,1.03,4.807,21.061,32.266,92.792,236.441,41.58,70.637,47.121,262.913,3.573,3.267,39.213,0.834,2.049,20.105,-153.538,-64.699,-38.353,-45.948,1947369280,5.109,4.891,5.153,4.932
100604,1,11.323,4.177,2.021,7.736,22.386,1.273,3.684,17.801,43.94,132.711,142.037,220.919,65.768,25.86,249.401,2.275,1.869,47.295,1.587,6.075,24.091,-4.616,-3.785,-2.796,-1.761,1621827044,5.495,4.214,5.417,4.154
100605,1,170.138,2.704,2.712,4.557,18.832,1.312,5.421,53.944,9.149,78.513,93.037,83.155,1.457,54.167,7266.447,1.104,1.077,41.389,2.067,3.473,11.56,42.393,41.523,16.805,8.127,1058834730,4.322,4.015,6.768,6.286
100606,1,6.583,24.387,0.376,1.573,16.179,0.363,3.734,11.059,41.486,18.763,105.639,205.803,119.419,23.517,33.939,3.112,3.06,65.616,1.038,4.332,30.802,3.605,2.124,1.615,1.556,799852152,6.157,5.798,6.25,5.885
100607,1,-7.314,-23.021,2.195,9.06,19.329,0.827,1.765,15.936,12.57,65.998,116.574,230.733,56.961,25.793,644.126,1.859,1.765,65.027,2.652,10.947,21.282,-57.197,-46.092,-34.923,-13.165,2278190239,6.572,6.441,5.251,5.146
100608,1,172.44,82.47,12.131,32.242,46.962,4.717,6.871,53.743,13.473,150.468,157.845,171.83,37.022,32.377,107.263,0.752,0.683,30.358,2.571,6.834,44.219,50.626,39.887,24.879,9.675,394104982,2,0.004,2.099,0.004
100609,1,42.396,178.292,4.761,21.996,41.459,2.492,4.698,32.383,14.221,61.987,145.728,277.059,160.375,18.606,20.034,1.619,1.424,42.743,1.91,8.824,19.859,67.372,41.87,32.806,17.174,1237940529,3.183,1.742,3.373,1.846
100610,1,34.181,-40.723,5.144,10.666,16.666,3.149,4.921,24.154,22.979,201.937,228.682,81.645,35.126,46.131,4072.727,1.476,1.476,49.197,1.633,3.386,35.53,-86.117,-56.832,-29.421,-18.011,233468137,5.524,4.327,5.349,4.19
100611,1,12.59,25.325,3.649,15.625,22.646,1.628,2.359,20.637,16.376,33.762,113.522,321.726,61.332,20.701,163.929,1.68,1.486,61.734,2.241,9.596,26.849,-7.769,-6.645,-5.093,-2.272,2638143553,7.991,7.413,6.297,5.842
100612,1,41.616,14.567,3.945,10.016,19.317,3.013,5.811,19.36,31.241,194.504,249.398,87.001,76.195,37.994,211.38,2.384,1.887,38.599,1.309,3.324,27.924,53.199,23.645,14.33,10.943,1886969916,2.833,2.298,2.727,2.212
100613,1,24.21,-28.115,3.74,7.275,23.247,2.193,7.009,42.532,21.454,137.181,190.152,100.856,0.171,49.744,727.118,2.14,1.979,40.971,1.705,3.316,39.507,-21.132,-21.032,-10.218,-5.992,400990094,3.185,2.887,3.143,2.849
100614,1,10.263,-5.888,5.063,22.807,42.105,1.768,3.264,23.587,17.042,103.86,120.024,326.377,3.543,23.26,327.753,1.224,1.224,52.38,2.863,12.899,32.327,-27.777,-27.534,-21.421,-7.48,501211295,4.847,4.508,4.766,4.433
100615,1,2.834,1.885,3.794,14.708,31.539,2.601,5.577,58.1,8.725,108.72,131.976,267.231,4.378,26.909,247.679,2.306,2.306,38.692,1.458,5.654,14.201,-6.539,-6.432,-4.773,-3.271,325358379,4.277,3.966,4.426,4.104
100616,1,16.967,4.41,2.653,10.635,29.828,1.649,4.626,26.491,18.735,54.298,125.673,304.31,3.685,24.51,101.329,2.188,1.517,53.024,1.608,6.447,14.205,-11.028,-10.903,-8.183,-5.088,8834005980,7.35,3.806,7.203,3.729
100617,1,58.104,15.879,4.327,11.516,25.085,3.812,8.305,27.127,30.451,55.802,105.119,134.198,2.061,42.326,351,3.888,3.699,46.235,1.134,3.02,25.407,-21.926,-21.482,-13.41,-11.815,806666201,5.77,4.814,5.611,4.682
100618,1,28.688,55.901,3.71,21.102,45.249,1.562,3.35,48.372,8.441,85.948,107.864,443.755,1.24,18.348,240.628,1.43,1.391,52.673,2.375,13.506,24.425,-25.671,-25.582,-21.083,-8.876,1085939608,5.925,5.427,5.892,5.398
100619,1,6.755,-5.578,2.123,7.532,25.322,1.658,5.576,23.517,27.501,65.334,85.925,262.733,1.007,27.492,459.726,3.57,3.127,63.251,1.28,4.54,26.072,-17.327,-16.366,-11.751,-9.178,1740837562,4.641,4.329,4.441,4.143
100620,1,-9.96,25.44,3.381,12.334,30.616,2.248,5.582,44.838,38.832,190.538,203.915,140.919,120.919,27.636,277.65,3.734,3.734,43.519,1.503,5.484,56.884,50.498,25.291,18.357,12.208,966939306,2.854,2.533,2.74,2.432
100621,1,42.105,77.019,3.555,14.285,34.693,1.235,2.999,44.905,18.829,176.176,192.154,151.403,111.015,27.592,202.868,1.865,1.814,34.982,2.878,11.565,48.838,-29.814,-17.874,-13.425,-4.663,746947581,2.425,2.289,2.32,2.189
100622,1,187.976,116.314,5.127,19.846,32.506,5.4,8.845,37.475,31.209,93.977,114.484,312.441,74.961,20.516,14.486,3.491,2.234,20.899,0.949,3.674,28.198,169.672,111.025,82.342,70.428,670388031,1.675,1.562,1.582,1.475
100623,1,57.538,42.019,6.231,12.268,20.37,4.653,7.726,37.288,39.291,116.755,142.287,62.251,22.516,54.121,364.444,2.37,2.37,32.168,1.339,2.636,58.553,19.548,12.425,6.114,4.565,447534639,1.777,1.574,1.786,1.582
