Date,Open,High,Low,Close,Adj Close,Volume
2017-01-02,23850.0,23850.0,23150.0,23450.0,23450.0,153947
2017-01-03,23250.0,23350.0,22950.0,23200.0,23200.0,161239
2017-01-04,23350.0,23350.0,22850.0,23000.0,23000.0,81858
2017-01-05,23100.0,23700.0,22850.0,23500.0,23500.0,141192
2017-01-06,23400.0,23450.0,22950.0,23000.0,23000.0,100135
2017-01-09,23000.0,23150.0,22650.0,22650.0,22650.0,84228
2017-01-10,22650.0,22850.0,22550.0,22600.0,22600.0,63083
2017-01-11,22650.0,22800.0,22550.0,22600.0,22600.0,65291
2017-01-12,22600.0,22600.0,22250.0,22400.0,22400.0,103387
2017-01-13,22400.0,22700.0,22250.0,22300.0,22300.0,75867
2017-01-16,22450.0,22700.0,22150.0,22200.0,22200.0,42413
2017-01-17,22100.0,22450.0,22100.0,22150.0,22150.0,57948
2017-01-18,22100.0,22450.0,22100.0,22250.0,22250.0,42383
2017-01-19,22350.0,22400.0,22000.0,22000.0,22000.0,66404
2017-01-20,22000.0,22000.0,21800.0,21850.0,21850.0,48155
2017-01-23,21900.0,22100.0,21750.0,21750.0,21750.0,38387
2017-01-24,21650.0,21900.0,21500.0,21650.0,21650.0,40335
2017-01-25,21650.0,21800.0,21250.0,21750.0,21750.0,65661
2017-01-26,21650.0,21800.0,21550.0,21700.0,21700.0,41723
2017-01-31,21700.0,21900.0,21650.0,21650.0,21650.0,36498
2017-02-01,21850.0,21850.0,21550.0,21700.0,21700.0,42917
2017-02-02,21750.0,22050.0,21550.0,21850.0,21850.0,58343
2017-02-03,22050.0,22450.0,21950.0,22300.0,22300.0,74590
2017-02-06,22350.0,22400.0,22000.0,22350.0,22350.0,42642
2017-02-07,22450.0,22450.0,22050.0,22250.0,22250.0,44135
2017-02-08,22100.0,22250.0,21850.0,21950.0,21950.0,41433
2017-02-09,21950.0,22100.0,21800.0,21950.0,21950.0,38884
2017-02-10,22100.0,22700.0,21800.0,22450.0,22450.0,82503
2017-02-13,22350.0,22550.0,22150.0,22250.0,22250.0,38390
2017-02-14,22250.0,22250.0,21950.0,21950.0,21950.0,49463
2017-02-15,22000.0,22350.0,22000.0,22250.0,22250.0,39270
2017-02-16,22300.0,22350.0,22100.0,22250.0,22250.0,40461
2017-02-17,22150.0,22400.0,22100.0,22300.0,22300.0,45092
2017-02-20,22300.0,22500.0,22200.0,22300.0,22300.0,54020
2017-02-21,22350.0,22700.0,22300.0,22550.0,22550.0,63898
2017-02-22,22450.0,22700.0,22300.0,22600.0,22600.0,72090
2017-02-23,22600.0,22900.0,22400.0,22500.0,22500.0,61563
2017-02-24,22400.0,22600.0,22200.0,22250.0,22250.0,61467
2017-02-27,22400.0,22650.0,22350.0,22450.0,22450.0,57242
2017-02-28,22500.0,22600.0,22200.0,22200.0,22200.0,40680
2017-03-02,22200.0,22550.0,22150.0,22550.0,22550.0,78158
2017-03-03,22500.0,22650.0,22250.0,22650.0,22650.0,71026
2017-03-06,22900.0,23800.0,22850.0,23100.0,23100.0,253869
2017-03-07,23350.0,23350.0,22750.0,22900.0,22900.0,94463
2017-03-08,23000.0,23000.0,22500.0,22500.0,22500.0,91248
2017-03-09,22500.0,22850.0,22450.0,22700.0,22700.0,60335
2017-03-10,22550.0,22900.0,22300.0,22850.0,22850.0,91490
2017-03-13,22600.0,22900.0,22600.0,22700.0,22700.0,76886
2017-03-14,22850.0,22950.0,22500.0,22750.0,22750.0,105221
2017-03-15,22950.0,23050.0,21900.0,22150.0,22150.0,248300
2017-03-16,22250.0,22550.0,22100.0,22400.0,22400.0,102669
2017-03-17,22400.0,22600.0,21500.0,21850.0,21850.0,451126
2017-03-20,21700.0,21700.0,21050.0,21500.0,21500.0,134388
2017-03-21,21750.0,21750.0,21350.0,21400.0,21400.0,78179
2017-03-22,21400.0,21650.0,21300.0,21350.0,21350.0,52992
2017-03-23,21400.0,21500.0,20750.0,20850.0,20850.0,123795
2017-03-24,20950.0,21150.0,20550.0,21000.0,21000.0,89307
2017-03-27,21000.0,21600.0,20950.0,21250.0,21250.0,57114
2017-03-28,21400.0,21400.0,21050.0,21200.0,21200.0,48526
2017-03-29,21250.0,21350.0,21000.0,21150.0,21150.0,67283
2017-03-30,21050.0,21250.0,20850.0,21050.0,21050.0,57370
2017-03-31,21000.0,21250.0,20850.0,21200.0,21200.0,49843
2017-04-03,21100.0,21200.0,20950.0,21150.0,21150.0,63624
2017-04-04,21200.0,21450.0,20950.0,21250.0,21250.0,70654
2017-04-05,21400.0,21450.0,21100.0,21200.0,21200.0,51853
2017-04-06,21250.0,21250.0,21050.0,21200.0,21200.0,34891
2017-04-07,21250.0,21300.0,21000.0,21100.0,21100.0,65273
2017-04-10,21000.0,21000.0,20550.0,20550.0,20550.0,90374
2017-04-11,20650.0,20950.0,20550.0,20850.0,20850.0,57738
2017-04-12,20850.0,20900.0,20550.0,20800.0,20800.0,47326
2017-04-13,20800.0,20850.0,20650.0,20650.0,20650.0,35997
2017-04-14,20550.0,20750.0,20300.0,20350.0,20350.0,52695
2017-04-17,20450.0,20500.0,20250.0,20500.0,20500.0,74103
2017-04-18,20500.0,20600.0,20350.0,20600.0,20600.0,124619
2017-04-19,20600.0,20600.0,20400.0,20550.0,20550.0,56270
2017-04-20,20500.0,20550.0,20300.0,20400.0,20400.0,81555
2017-04-21,20400.0,20450.0,20200.0,20200.0,20200.0,59681
2017-04-24,20050.0,20150.0,19850.0,19900.0,19900.0,79776
2017-04-25,19950.0,20200.0,19950.0,20100.0,20100.0,43293
2017-04-26,20150.0,20250.0,20050.0,20150.0,20150.0,53135
2017-04-27,20250.0,20300.0,20050.0,20100.0,20100.0,38573
2017-04-28,20150.0,20150.0,19950.0,20000.0,20000.0,51779
2017-05-02,20000.0,20000.0,19750.0,19800.0,19800.0,58105
2017-05-04,19800.0,20100.0,19750.0,20000.0,20000.0,67773
2017-05-08,20000.0,20750.0,20000.0,20750.0,20750.0,198909
2017-05-10,20800.0,21050.0,20700.0,20800.0,20800.0,129428
2017-05-11,20800.0,20850.0,20500.0,20600.0,20600.0,88516
2017-05-12,20600.0,20750.0,20350.0,20500.0,20500.0,80496
2017-05-15,20400.0,20500.0,20150.0,20300.0,20300.0,73064
2017-05-16,20300.0,20400.0,20050.0,20100.0,20100.0,74349
2017-05-17,20100.0,20150.0,19850.0,19900.0,19900.0,106697
2017-05-18,19850.0,19900.0,19600.0,19900.0,19900.0,78541
2017-05-19,20000.0,20100.0,19850.0,19950.0,19950.0,54152
2017-05-22,20050.0,20050.0,19800.0,19800.0,19800.0,37674
2017-05-23,19850.0,19850.0,19450.0,19500.0,19500.0,88200
2017-05-24,19500.0,19800.0,19500.0,19800.0,19800.0,48734
2017-05-25,19850.0,19900.0,19500.0,19550.0,19550.0,90319
2017-05-26,19500.0,19750.0,19500.0,19550.0,19550.0,89695
2017-05-29,19650.0,19650.0,19250.0,19400.0,19400.0,103843
2017-05-30,19450.0,19500.0,19350.0,19450.0,19450.0,81231
2017-05-31,19450.0,19950.0,19300.0,19850.0,19850.0,133062
2017-06-01,19900.0,19950.0,19700.0,19800.0,19800.0,50432
2017-06-02,20150.0,20150.0,19700.0,19800.0,19800.0,81132
2017-06-05,19800.0,20500.0,19800.0,20350.0,20350.0,144647
2017-06-07,20350.0,20850.0,20350.0,20700.0,20700.0,201559
2017-06-08,20850.0,21200.0,20750.0,20750.0,20750.0,178855
2017-06-09,20850.0,21300.0,20700.0,21300.0,21300.0,173706
2017-06-12,21250.0,21300.0,20800.0,20900.0,20900.0,84663
2017-06-13,21000.0,21100.0,20750.0,20900.0,20900.0,66634
2017-06-14,21000.0,21600.0,21000.0,21200.0,21200.0,151516
2017-06-15,21400.0,21400.0,20800.0,21200.0,21200.0,95114
2017-06-16,21150.0,21350.0,20900.0,21150.0,21150.0,91578
2017-06-19,21150.0,21450.0,21050.0,21450.0,21450.0,121502
2017-06-20,21600.0,23350.0,21600.0,22950.0,22950.0,999066
2017-06-21,23100.0,23250.0,22500.0,22850.0,22850.0,340497
2017-06-22,22900.0,22950.0,22150.0,22200.0,22200.0,206041
2017-06-23,22300.0,22500.0,22100.0,22300.0,22300.0,99872
2017-06-26,22250.0,22850.0,22050.0,22500.0,22500.0,149294
2017-06-27,22800.0,23150.0,22500.0,22500.0,22500.0,236309
2017-06-28,22350.0,22500.0,22200.0,22300.0,22300.0,111193
2017-06-29,22450.0,22450.0,21850.0,21850.0,21850.0,87226
2017-06-30,21700.0,22150.0,21650.0,22150.0,22150.0,107599
2017-07-03,22200.0,22300.0,21900.0,22050.0,22050.0,53247
2017-07-04,22050.0,22050.0,21500.0,21650.0,21650.0,75367
2017-07-05,21600.0,21850.0,20950.0,21450.0,21450.0,79180
2017-07-06,21350.0,21850.0,21350.0,21750.0,21750.0,71995
2017-07-07,21800.0,21850.0,21600.0,21850.0,21850.0,52268
2017-07-10,21900.0,21950.0,21600.0,21650.0,21650.0,47033
2017-07-11,21600.0,21850.0,21250.0,21250.0,21250.0,45463
2017-07-12,21300.0,21550.0,20550.0,20700.0,20700.0,116417
2017-07-13,20750.0,21000.0,20400.0,20900.0,20900.0,76258
2017-07-14,20900.0,21050.0,20400.0,21050.0,21050.0,73829
2017-07-17,21200.0,21300.0,21000.0,21100.0,21100.0,63227
2017-07-18,21250.0,21250.0,20950.0,21050.0,21050.0,38269
2017-07-19,21000.0,21900.0,20900.0,21750.0,21750.0,114570
2017-07-20,21900.0,21950.0,21400.0,21400.0,21400.0,106980
2017-07-21,21450.0,21450.0,21100.0,21200.0,21200.0,68797
2017-07-24,21250.0,21400.0,21000.0,21300.0,21300.0,71867
2017-07-25,21300.0,21300.0,20550.0,20700.0,20700.0,105862
2017-07-26,20700.0,21000.0,20400.0,20950.0,20950.0,74472
2017-07-27,21000.0,21100.0,20650.0,20700.0,20700.0,45635
2017-07-28,20450.0,20550.0,19950.0,20200.0,20200.0,202170
2017-07-31,20000.0,20300.0,19750.0,19950.0,19950.0,90703
2017-08-01,20050.0,20100.0,19800.0,19850.0,19850.0,82038
2017-08-02,19900.0,20050.0,19800.0,19900.0,19900.0,93839
2017-08-03,19900.0,20000.0,19350.0,19350.0,19350.0,128037
2017-08-04,19400.0,19650.0,19200.0,19350.0,19350.0,84063
2017-08-07,19350.0,20000.0,19350.0,19700.0,19700.0,100680
2017-08-08,19850.0,19850.0,19550.0,19650.0,19650.0,50641
2017-08-09,19650.0,19700.0,19250.0,19250.0,19250.0,73180
2017-08-10,19250.0,19650.0,19150.0,19250.0,19250.0,58644
2017-08-11,19050.0,19150.0,18350.0,18650.0,18650.0,157168
2017-08-14,18550.0,18800.0,18450.0,18650.0,18650.0,102468
2017-08-16,18650.0,19400.0,18650.0,19300.0,19300.0,114007
2017-08-17,19400.0,19600.0,19100.0,19200.0,19200.0,61003
2017-08-18,19100.0,19200.0,18900.0,19050.0,19050.0,37296
2017-08-21,19250.0,19250.0,19050.0,19050.0,19050.0,39868
2017-08-22,19250.0,19450.0,19050.0,19350.0,19350.0,99459
2017-08-23,19350.0,19450.0,18900.0,19000.0,19000.0,84591
2017-08-24,19100.0,19100.0,18700.0,18800.0,18800.0,86359
